" ""Eat ice KevinSmith"" If I'm eating anything tonight, woman? It's pity-pussy. Make it better in a ...",B3
" ""I fucked your bitch cause she gave me a boner, she went down twice like Adrien Broner..."" ",B3
" ""She like it."" Says the guy who hits women out of bed. FOH",B3
 98% of women were sluts freshman year of college. Let these hoes be great,B3
 A real bitch know she gotta pluck dat nipple hair,B3
 A strong black women is simply a bitch that wanna argue over every single thing,B3
 A twitter crush is some bitch shit. Man up ,B3
 A woman's revenge To a man is being a hoe,B3
 All I'm sayin is u bitches would hookup wit tha headless horseman cuz u think he all badass n shit but then u complain ,B3
" Am I the only nigga that fucked a ""virgin"" expecting her to scream. She wasn't even moaning....bitch you not a virgin",B3
 And ima steal his cat n replace it with a pitbull ,B3
 and your an annoying ass fuck boy he could of still meet up and fight somwhere else u can shut that bitch shit up fuck boy,B3
 at least he went up and wasn't a bitch,B3
 At least i say im crazy...some nigga gotta find out a bitch wild when she shooting at they ass ,B3
 awe boy your shirt tight than a bitch in that avi polo man turnt into a wrestler fat ass lil boy,B3
 Back in the day when Drake was Aubrey/Jimmy and he made that song with his bitch girlfriend I said he was gonna be a rapper,B3
 because I thought Jay Z would hit her,B3
 Behind every lame ass nigga... is a lame ass bitch that is constantly telling him how real he is...,B3
" Best believe We aint brainwash miss white man, unlike yourself, she devil",B3
 bitch built like squid ward after he ate all the Krabby Patties ,B3
 Bitches be fallin so Inlove w. Niggass ,B3
" bitches be like ""if you come over were not fucking"" but it happened ; she shaved bitch knew wassup ",B3
 Bitches hate kim they bring up she sucked dick too get famous . ,B3
 Body counts don't matter ! YALL treat all bitches the same anyway,B3
 Boosie said he got a bitch from the Sip. ,B3
" Bruh, Chichi go months to years without seeing me and she still the bae. You basic ass bitches can't go 2 missed calls ",B3
 but what if he actually does choose the ugly bitch over you? Her ass must be fat!,B3
 Cause lord know if another bitch call yo nigga handsome and he entertain it ALL HELL gonna break loose...,B3
 Cheating on a good woman is like eating out of the trash instead going out for steak,B3
" Chief Keef changed the rap game when he said ""bitch I'm cooler than a cooler""",B3
 comin from this bitch who had a dread on the back of her,B3
 Don't you dare bring a boy into my house you slut.You scissor like a good girl,B3
